2019-01-10 21:28:26 ===== Starting: ShallowRedExperiment =====
2019-01-10 21:28:33 Run
2019-01-10 21:28:33 id = 4 (machine1); Seed = 0; Starting new sample
2019-01-10 21:28:33 id = 3 (machine1); Seed = 1; Starting new sample
2019-01-10 21:28:33 id = 2 (machine1); Seed = 2; Starting new sample
2019-01-10 21:28:33 id = 1 (machine1); Seed = 3; Starting new sample
2019-01-10 21:28:33 id = 0 (machine1); Seed = 4; Starting new sample
2019-01-10 21:30:39 id = 1 (machine1); Seed = 3; Done (0)
2019-01-10 21:30:39 id = 1 (machine1); Seed = 5; Starting new sample
2019-01-10 21:30:49 id = 2 (machine1); Seed = 2; Done (0)
2019-01-10 21:30:49 id = 2 (machine1); Seed = 6; Starting new sample
2019-01-10 21:31:04 id = 4 (machine1); Seed = 0; Done (0)
2019-01-10 21:31:04 id = 4 (machine1); Seed = 7; Starting new sample
2019-01-10 21:31:45 id = 3 (machine1); Seed = 1; Done (0)
2019-01-10 21:31:45 id = 3 (machine1); Seed = 8; Starting new sample
2019-01-10 21:33:32 id = 0 (machine1); Seed = 4; Done (0)
2019-01-10 21:33:32 id = 0 (machine1); Seed = 9; Starting new sample
2019-01-10 21:33:39 id = 4 (machine1); Seed = 7; Done (0)
2019-01-10 21:33:39 id = 4 (machine1); Seed = 10; Starting new sample
2019-01-10 21:34:21 id = 3 (machine1); Seed = 8; Done (0)
2019-01-10 21:34:21 id = 3 (machine1); Seed = 11; Starting new sample
2019-01-10 21:36:28 id = 3 (machine1); Seed = 11; Done (0)
2019-01-10 21:36:28 id = 3 (machine1); Seed = 12; Starting new sample
2019-01-10 21:36:28 id = 1 (machine1); Seed = 5; Done (0)
2019-01-10 21:36:28 id = 1 (machine1); Seed = 13; Starting new sample
2019-01-10 21:36:46 id = 2 (machine1); Seed = 6; Done (0)
2019-01-10 21:36:46 id = 2 (machine1); Seed = 14; Starting new sample
2019-01-10 21:38:22 id = 2 (machine1); Seed = 14; Done (0)
2019-01-10 21:38:22 id = 2 (machine1); Seed = 15; Starting new sample
2019-01-10 21:38:28 id = 0 (machine1); Seed = 9; Done (0)
2019-01-10 21:38:28 id = 0 (machine1); Seed = 16; Starting new sample
2019-01-10 21:38:45 id = 1 (machine1); Seed = 13; Done (0)
2019-01-10 21:38:45 id = 1 (machine1); Seed = 17; Starting new sample
2019-01-10 21:38:52 id = 3 (machine1); Seed = 12; Done (0)
2019-01-10 21:38:52 id = 3 (machine1); Seed = 18; Starting new sample
2019-01-10 21:39:11 id = 4 (machine1); Seed = 10; Done (0)
2019-01-10 21:39:11 id = 4 (machine1); Seed = 19; Starting new sample
2019-01-10 21:40:44 id = 4 (machine1); Seed = 19; Done (0)
2019-01-10 21:40:44 id = 4 (machine1); Seed = 20; Starting new sample
2019-01-10 21:40:46 id = 1 (machine1); Seed = 17; Done (0)
2019-01-10 21:40:46 id = 1 (machine1); Seed = 21; Starting new sample
2019-01-10 21:41:04 id = 0 (machine1); Seed = 16; Done (0)
2019-01-10 21:41:04 id = 0 (machine1); Seed = 22; Starting new sample
2019-01-10 21:41:35 id = 2 (machine1); Seed = 15; Done (0)
2019-01-10 21:41:35 id = 2 (machine1); Seed = 23; Starting new sample
2019-01-10 21:42:53 id = 3 (machine1); Seed = 18; Done (0)
2019-01-10 21:42:53 id = 3 (machine1); Seed = 24; Starting new sample
2019-01-10 21:43:38 id = 4 (machine1); Seed = 20; Done (0)
2019-01-10 21:43:38 id = 4 (machine1); Seed = 25; Starting new sample
2019-01-10 21:44:04 id = 0 (machine1); Seed = 22; Done (0)
2019-01-10 21:44:04 id = 0 (machine1); Seed = 26; Starting new sample
2019-01-10 21:44:20 id = 2 (machine1); Seed = 23; Done (0)
2019-01-10 21:44:20 id = 2 (machine1); Seed = 27; Starting new sample
2019-01-10 21:46:03 id = 1 (machine1); Seed = 21; Done (0)
2019-01-10 21:46:03 id = 1 (machine1); Seed = 28; Starting new sample
2019-01-10 21:46:34 id = 2 (machine1); Seed = 27; Done (0)
2019-01-10 21:46:34 id = 2 (machine1); Seed = 29; Starting new sample
2019-01-10 21:46:35 id = 0 (machine1); Seed = 26; Done (0)
2019-01-10 21:46:35 id = 0 (machine1); Seed = 30; Starting new sample
2019-01-10 21:47:34 id = 3 (machine1); Seed = 24; Done (0)
2019-01-10 21:47:34 id = 3 (machine1); Seed = 31; Starting new sample
2019-01-10 21:48:33 id = 1 (machine1); Seed = 28; Done (0)
2019-01-10 21:48:33 id = 1 (machine1); Seed = 32; Starting new sample
2019-01-10 21:48:44 id = 4 (machine1); Seed = 25; Done (0)
2019-01-10 21:48:44 id = 4 (machine1); Seed = 33; Starting new sample
2019-01-10 21:48:59 id = 0 (machine1); Seed = 30; Done (0)
2019-01-10 21:48:59 id = 0 (machine1); Seed = 34; Starting new sample
2019-01-10 21:50:26 id = 1 (machine1); Seed = 32; Done (0)
2019-01-10 21:50:26 id = 1 (machine1); Seed = 35; Starting new sample
2019-01-10 21:51:10 id = 2 (machine1); Seed = 29; Done (1)
2019-01-10 21:51:10 id = 2 (machine1); Seed = 36; Starting new sample
2019-01-10 21:51:27 id = 0 (machine1); Seed = 34; Done (0)
2019-01-10 21:51:27 id = 0 (machine1); Seed = 37; Starting new sample
2019-01-10 21:51:28 id = 4 (machine1); Seed = 33; Done (0)
2019-01-10 21:51:28 id = 4 (machine1); Seed = 38; Starting new sample
2019-01-10 21:52:50 id = 1 (machine1); Seed = 35; Done (0)
2019-01-10 21:52:50 id = 1 (machine1); Seed = 39; Starting new sample
2019-01-10 21:53:09 id = 2 (machine1); Seed = 36; Done (0)
2019-01-10 21:53:09 id = 2 (machine1); Seed = 40; Starting new sample
2019-01-10 21:53:48 id = 3 (machine1); Seed = 31; Done (0)
2019-01-10 21:53:48 id = 3 (machine1); Seed = 41; Starting new sample
2019-01-10 21:55:05 id = 2 (machine1); Seed = 40; Done (0)
2019-01-10 21:55:05 id = 2 (machine1); Seed = 42; Starting new sample
2019-01-10 21:55:52 id = 4 (machine1); Seed = 38; Done (0)
2019-01-10 21:55:52 id = 4 (machine1); Seed = 43; Starting new sample
2019-01-10 21:56:27 id = 3 (machine1); Seed = 41; Done (0)
2019-01-10 21:56:27 id = 3 (machine1); Seed = 44; Starting new sample
2019-01-10 21:58:32 id = 1 (machine1); Seed = 39; Done (0)
2019-01-10 21:58:32 id = 1 (machine1); Seed = 45; Starting new sample
2019-01-10 21:59:34 id = 3 (machine1); Seed = 44; Done (0)
2019-01-10 21:59:35 id = 3 (machine1); Seed = 46; Starting new sample
2019-01-10 22:02:22 id = 2 (machine1); Seed = 42; Done (0)
2019-01-10 22:02:22 id = 2 (machine1); Seed = 47; Starting new sample
2019-01-10 22:02:34 id = 3 (machine1); Seed = 46; Done (0)
2019-01-10 22:02:34 id = 3 (machine1); Seed = 48; Starting new sample
2019-01-10 22:04:29 id = 1 (machine1); Seed = 45; Done (0)
2019-01-10 22:04:29 id = 1 (machine1); Seed = 49; Starting new sample
2019-01-10 22:04:38 id = 2 (machine1); Seed = 47; Done (0)
2019-01-10 22:04:38 id = 2 (machine1); Seed = 50; Starting new sample
2019-01-10 22:05:12 id = 0 (machine1); Seed = 37; Done (0)
2019-01-10 22:05:12 id = 0 (machine1); Seed = 51; Starting new sample
2019-01-10 22:06:40 id = 1 (machine1); Seed = 49; Done (0)
2019-01-10 22:06:40 id = 1 (machine1); Seed = 52; Starting new sample
2019-01-10 22:06:58 id = 4 (machine1); Seed = 43; Done (0)
2019-01-10 22:06:58 id = 4 (machine1); Seed = 53; Starting new sample
2019-01-10 22:07:57 id = 0 (machine1); Seed = 51; Done (0)
2019-01-10 22:07:57 id = 0 (machine1); Seed = 54; Starting new sample
2019-01-10 22:08:37 id = 1 (machine1); Seed = 52; Done (0)
2019-01-10 22:08:37 id = 1 (machine1); Seed = 55; Starting new sample
2019-01-10 22:09:02 id = 4 (machine1); Seed = 53; Done (0)
2019-01-10 22:09:02 id = 4 (machine1); Seed = 56; Starting new sample
2019-01-10 22:10:37 id = 0 (machine1); Seed = 54; Done (0)
2019-01-10 22:10:37 id = 0 (machine1); Seed = 57; Starting new sample
2019-01-10 22:13:07 id = 4 (machine1); Seed = 56; Done (0)
2019-01-10 22:13:07 id = 4 (machine1); Seed = 58; Starting new sample
2019-01-10 22:15:23 id = 0 (machine1); Seed = 57; Done (1)
2019-01-10 22:15:24 id = 0 (machine1); Seed = 59; Starting new sample
2019-01-10 22:15:54 id = 4 (machine1); Seed = 58; Done (0)
2019-01-10 22:15:54 id = 4 (machine1); Seed = 60; Starting new sample
2019-01-10 22:18:26 id = 3 (machine1); Seed = 48; Done (0)
2019-01-10 22:18:26 id = 3 (machine1); Seed = 61; Starting new sample
2019-01-10 22:19:42 id = 4 (machine1); Seed = 60; Done (0)
2019-01-10 22:19:42 id = 4 (machine1); Seed = 62; Starting new sample
2019-01-10 22:20:59 id = 1 (machine1); Seed = 55; Done (0)
2019-01-10 22:20:59 id = 1 (machine1); Seed = 63; Starting new sample
2019-01-10 22:21:24 id = 2 (machine1); Seed = 50; Done (0)
2019-01-10 22:21:24 id = 2 (machine1); Seed = 64; Starting new sample
2019-01-10 22:21:28 id = 0 (machine1); Seed = 59; Done (0)
2019-01-10 22:21:28 id = 0 (machine1); Seed = 65; Starting new sample
2019-01-10 22:24:26 id = 3 (machine1); Seed = 61; Done (0)
2019-01-10 22:24:26 id = 3 (machine1); Seed = 66; Starting new sample
2019-01-10 22:24:47 id = 2 (machine1); Seed = 64; Done (0)
2019-01-10 22:24:47 id = 2 (machine1); Seed = 67; Starting new sample
2019-01-10 22:24:47 id = 0 (machine1); Seed = 65; Done (0)
2019-01-10 22:24:47 id = 0 (machine1); Seed = 68; Starting new sample
2019-01-10 22:24:52 id = 1 (machine1); Seed = 63; Done (0)
2019-01-10 22:24:52 id = 1 (machine1); Seed = 69; Starting new sample
2019-01-10 22:27:04 id = 4 (machine1); Seed = 62; Done (0)
2019-01-10 22:27:04 id = 4 (machine1); Seed = 70; Starting new sample
2019-01-10 22:27:26 id = 2 (machine1); Seed = 67; Done (0)
2019-01-10 22:27:26 id = 2 (machine1); Seed = 71; Starting new sample
2019-01-10 22:27:58 id = 3 (machine1); Seed = 66; Done (0)
2019-01-10 22:27:58 id = 3 (machine1); Seed = 72; Starting new sample
2019-01-10 22:29:19 id = 0 (machine1); Seed = 68; Done (0)
2019-01-10 22:29:19 id = 0 (machine1); Seed = 73; Starting new sample
2019-01-10 22:29:30 id = 4 (machine1); Seed = 70; Done (0)
2019-01-10 22:29:30 id = 4 (machine1); Seed = 74; Starting new sample
2019-01-10 22:32:22 id = 1 (machine1); Seed = 69; Done (0)
2019-01-10 22:32:22 id = 1 (machine1); Seed = 75; Starting new sample
2019-01-10 22:32:24 id = 3 (machine1); Seed = 72; Done (1)
2019-01-10 22:32:24 id = 3 (machine1); Seed = 76; Starting new sample
2019-01-10 22:32:47 id = 2 (machine1); Seed = 71; Done (0)
2019-01-10 22:32:47 id = 2 (machine1); Seed = 77; Starting new sample
2019-01-10 22:33:17 id = 0 (machine1); Seed = 73; Done (1)
2019-01-10 22:33:17 id = 0 (machine1); Seed = 78; Starting new sample
2019-01-10 22:34:30 id = 2 (machine1); Seed = 77; Done (0)
2019-01-10 22:34:30 id = 2 (machine1); Seed = 79; Starting new sample
2019-01-10 22:34:56 id = 1 (machine1); Seed = 75; Done (0)
2019-01-10 22:34:56 id = 1 (machine1); Seed = 80; Starting new sample
2019-01-10 22:36:23 id = 0 (machine1); Seed = 78; Done (0)
2019-01-10 22:36:23 id = 0 (machine1); Seed = 81; Starting new sample
2019-01-10 22:36:43 id = 4 (machine1); Seed = 74; Done (0)
2019-01-10 22:36:43 id = 4 (machine1); Seed = 82; Starting new sample
2019-01-10 22:37:22 id = 1 (machine1); Seed = 80; Done (0)
2019-01-10 22:37:22 id = 1 (machine1); Seed = 83; Starting new sample
2019-01-10 22:38:53 id = 0 (machine1); Seed = 81; Done (0)
2019-01-10 22:38:53 id = 0 (machine1); Seed = 84; Starting new sample
2019-01-10 22:39:19 id = 4 (machine1); Seed = 82; Done (0)
2019-01-10 22:39:19 id = 4 (machine1); Seed = 85; Starting new sample
2019-01-10 22:39:47 id = 2 (machine1); Seed = 79; Done (0)
2019-01-10 22:39:47 id = 2 (machine1); Seed = 86; Starting new sample
2019-01-10 22:40:15 id = 1 (machine1); Seed = 83; Done (0)
2019-01-10 22:40:15 id = 1 (machine1); Seed = 87; Starting new sample
2019-01-10 22:41:39 id = 4 (machine1); Seed = 85; Done (0)
2019-01-10 22:41:39 id = 4 (machine1); Seed = 88; Starting new sample
2019-01-10 22:41:43 id = 3 (machine1); Seed = 76; Done (0)
2019-01-10 22:41:43 id = 3 (machine1); Seed = 89; Starting new sample
2019-01-10 22:42:13 id = 2 (machine1); Seed = 86; Done (1)
2019-01-10 22:42:13 id = 2 (machine1); Seed = 90; Starting new sample
2019-01-10 22:43:11 id = 1 (machine1); Seed = 87; Done (0)
2019-01-10 22:43:11 id = 1 (machine1); Seed = 91; Starting new sample
2019-01-10 22:43:44 id = 4 (machine1); Seed = 88; Done (1)
2019-01-10 22:43:44 id = 4 (machine1); Seed = 92; Starting new sample
2019-01-10 22:44:36 id = 3 (machine1); Seed = 89; Done (1)
2019-01-10 22:44:36 id = 3 (machine1); Seed = 93; Starting new sample
2019-01-10 22:45:04 id = 2 (machine1); Seed = 90; Done (0)
2019-01-10 22:45:04 id = 2 (machine1); Seed = 94; Starting new sample
2019-01-10 22:47:29 id = 1 (machine1); Seed = 91; Done (0)
2019-01-10 22:47:29 id = 1 (machine1); Seed = 95; Starting new sample
2019-01-10 22:47:42 id = 3 (machine1); Seed = 93; Done (0)
2019-01-10 22:47:42 id = 3 (machine1); Seed = 96; Starting new sample
2019-01-10 22:47:57 id = 2 (machine1); Seed = 94; Done (0)
2019-01-10 22:47:57 id = 2 (machine1); Seed = 97; Starting new sample
2019-01-10 22:49:14 id = 0 (machine1); Seed = 84; Done (0)
2019-01-10 22:49:14 id = 0 (machine1); Seed = 98; Starting new sample
2019-01-10 22:50:06 id = 1 (machine1); Seed = 95; Done (0)
2019-01-10 22:50:06 id = 1 (machine1); Seed = 99; Starting new sample
2019-01-10 22:50:55 id = 0 (machine1); Seed = 98; Done (0)
2019-01-10 22:50:55 id = 0 (machine1); Seed = 100; Starting new sample
2019-01-10 22:51:08 id = 2 (machine1); Seed = 97; Done (0)
2019-01-10 22:51:08 id = 2 (machine1); Seed = 101; Starting new sample
2019-01-10 22:51:16 id = 4 (machine1); Seed = 92; Done (1)
2019-01-10 22:51:16 id = 4 (machine1); Seed = 102; Starting new sample
2019-01-10 22:52:08 id = 1 (machine1); Seed = 99; Done (0)
2019-01-10 22:52:08 id = 1 (machine1); Seed = 103; Starting new sample
2019-01-10 22:53:08 id = 0 (machine1); Seed = 100; Done (1)
2019-01-10 22:53:08 id = 0 (machine1); Seed = 104; Starting new sample
2019-01-10 22:53:52 id = 4 (machine1); Seed = 102; Done (0)
2019-01-10 22:53:52 id = 4 (machine1); Seed = 105; Starting new sample
2019-01-10 22:53:53 id = 3 (machine1); Seed = 96; Done (0)
2019-01-10 22:53:53 id = 3 (machine1); Seed = 106; Starting new sample
2019-01-10 22:55:53 id = 3 (machine1); Seed = 106; Done (0)
2019-01-10 22:55:53 id = 3 (machine1); Seed = 107; Starting new sample
2019-01-10 22:56:12 id = 4 (machine1); Seed = 105; Done (0)
2019-01-10 22:56:12 id = 4 (machine1); Seed = 108; Starting new sample
2019-01-10 22:57:23 id = 1 (machine1); Seed = 103; Done (0)
2019-01-10 22:57:23 id = 1 (machine1); Seed = 109; Starting new sample
2019-01-10 22:57:45 id = 2 (machine1); Seed = 101; Done (0)
2019-01-10 22:57:45 id = 2 (machine1); Seed = 110; Starting new sample
2019-01-10 23:00:08 id = 1 (machine1); Seed = 109; Done (0)
2019-01-10 23:00:08 id = 1 (machine1); Seed = 111; Starting new sample
2019-01-10 23:00:58 id = 2 (machine1); Seed = 110; Done (0)
2019-01-10 23:00:58 id = 2 (machine1); Seed = 112; Starting new sample
2019-01-10 23:01:52 id = 3 (machine1); Seed = 107; Done (1)
2019-01-10 23:01:52 id = 3 (machine1); Seed = 113; Starting new sample
2019-01-10 23:03:16 id = 4 (machine1); Seed = 108; Done (0)
2019-01-10 23:03:16 id = 4 (machine1); Seed = 114; Starting new sample
2019-01-10 23:03:25 id = 0 (machine1); Seed = 104; Done (0)
2019-01-10 23:03:25 id = 0 (machine1); Seed = 115; Starting new sample
2019-01-10 23:03:37 id = 2 (machine1); Seed = 112; Done (0)
2019-01-10 23:03:37 id = 2 (machine1); Seed = 116; Starting new sample
2019-01-10 23:04:24 id = 3 (machine1); Seed = 113; Done (0)
2019-01-10 23:04:24 id = 3 (machine1); Seed = 117; Starting new sample
2019-01-10 23:05:09 id = 0 (machine1); Seed = 115; Done (0)
2019-01-10 23:05:09 id = 0 (machine1); Seed = 118; Starting new sample
2019-01-10 23:05:31 id = 4 (machine1); Seed = 114; Done (0)
2019-01-10 23:05:31 id = 4 (machine1); Seed = 119; Starting new sample
2019-01-10 23:07:48 id = 1 (machine1); Seed = 111; Done (0)
2019-01-10 23:07:48 id = 1 (machine1); Seed = 120; Starting new sample
2019-01-10 23:09:48 id = 4 (machine1); Seed = 119; Done (0)
2019-01-10 23:09:48 id = 4 (machine1); Seed = 121; Starting new sample
2019-01-10 23:10:47 id = 0 (machine1); Seed = 118; Done (0)
2019-01-10 23:10:47 id = 0 (machine1); Seed = 122; Starting new sample
2019-01-10 23:11:42 id = 2 (machine1); Seed = 116; Done (0)
2019-01-10 23:11:42 id = 2 (machine1); Seed = 123; Starting new sample
2019-01-10 23:11:51 id = 3 (machine1); Seed = 117; Done (0)
2019-01-10 23:11:51 id = 3 (machine1); Seed = 124; Starting new sample
2019-01-10 23:12:23 id = 1 (machine1); Seed = 120; Done (0)
2019-01-10 23:12:23 id = 1 (machine1); Seed = 125; Starting new sample
2019-01-10 23:12:40 id = 4 (machine1); Seed = 121; Done (1)
2019-01-10 23:12:40 id = 4 (machine1); Seed = 126; Starting new sample
2019-01-10 23:12:54 id = 0 (machine1); Seed = 122; Done (1)
2019-01-10 23:12:54 id = 0 (machine1); Seed = 127; Starting new sample
2019-01-10 23:14:20 id = 2 (machine1); Seed = 123; Done (0)
2019-01-10 23:14:20 id = 2 (machine1); Seed = 128; Starting new sample
2019-01-10 23:15:49 id = 0 (machine1); Seed = 127; Done (0)
2019-01-10 23:15:49 id = 0 (machine1); Seed = 129; Starting new sample
2019-01-10 23:16:05 id = 1 (machine1); Seed = 125; Done (1)
2019-01-10 23:16:05 id = 1 (machine1); Seed = 130; Starting new sample
2019-01-10 23:19:21 id = 0 (machine1); Seed = 129; Done (0)
2019-01-10 23:19:21 id = 0 (machine1); Seed = 131; Starting new sample
2019-01-10 23:19:28 id = 2 (machine1); Seed = 128; Done (0)
2019-01-10 23:19:28 id = 2 (machine1); Seed = 132; Starting new sample
2019-01-10 23:19:44 id = 3 (machine1); Seed = 124; Done (0)
2019-01-10 23:19:44 id = 3 (machine1); Seed = 133; Starting new sample
2019-01-10 23:22:25 id = 0 (machine1); Seed = 131; Done (0)
2019-01-10 23:22:25 id = 0 (machine1); Seed = 134; Starting new sample
2019-01-10 23:22:56 id = 3 (machine1); Seed = 133; Done (0)
2019-01-10 23:22:56 id = 3 (machine1); Seed = 135; Starting new sample
2019-01-10 23:24:26 id = 2 (machine1); Seed = 132; Done (0)
2019-01-10 23:24:26 id = 2 (machine1); Seed = 136; Starting new sample
2019-01-10 23:25:56 id = 0 (machine1); Seed = 134; Done (0)
2019-01-10 23:25:56 id = 0 (machine1); Seed = 137; Starting new sample
2019-01-10 23:26:11 id = 3 (machine1); Seed = 135; Done (0)
2019-01-10 23:26:11 id = 3 (machine1); Seed = 138; Starting new sample
2019-01-10 23:28:53 id = 4 (machine1); Seed = 126; Done (0)
2019-01-10 23:28:53 id = 4 (machine1); Seed = 139; Starting new sample
2019-01-10 23:29:02 id = 0 (machine1); Seed = 137; Done (0)
2019-01-10 23:29:02 id = 0 (machine1); Seed = 140; Starting new sample
2019-01-10 23:29:56 id = 2 (machine1); Seed = 136; Done (0)
2019-01-10 23:29:56 id = 2 (machine1); Seed = 141; Starting new sample
2019-01-10 23:30:55 id = 1 (machine1); Seed = 130; Done (0)
2019-01-10 23:30:55 id = 1 (machine1); Seed = 142; Starting new sample
2019-01-10 23:31:43 id = 0 (machine1); Seed = 140; Done (0)
2019-01-10 23:31:43 id = 0 (machine1); Seed = 143; Starting new sample
2019-01-10 23:33:01 id = 4 (machine1); Seed = 139; Done (0)
2019-01-10 23:33:01 id = 4 (machine1); Seed = 144; Starting new sample
2019-01-10 23:33:09 id = 1 (machine1); Seed = 142; Done (0)
2019-01-10 23:33:09 id = 1 (machine1); Seed = 145; Starting new sample
2019-01-10 23:34:03 id = 0 (machine1); Seed = 143; Done (0)
2019-01-10 23:34:03 id = 0 (machine1); Seed = 146; Starting new sample
2019-01-10 23:35:28 id = 2 (machine1); Seed = 141; Done (0)
2019-01-10 23:35:28 id = 2 (machine1); Seed = 147; Starting new sample
2019-01-10 23:37:52 id = 4 (machine1); Seed = 144; Done (0)
2019-01-10 23:37:52 id = 4 (machine1); Seed = 148; Starting new sample
2019-01-10 23:37:54 id = 2 (machine1); Seed = 147; Done (0)
2019-01-10 23:37:54 id = 2 (machine1); Seed = 149; Starting new sample
