2019-01-11 19:30:44 ===== Starting: ShallowRedExperiment =====
2019-01-11 19:36:21 Run
2019-01-11 20:12:56 id = 2 (machine1); Seed = 41; Done (0)
2019-01-11 20:12:56 id = 2 (machine1); Seed = 46; Starting new sample
2019-01-11 20:13:53 id = 3 (machine1); Seed = 45; Done (0)
2019-01-11 20:13:53 id = 3 (machine1); Seed = 47; Starting new sample
2019-01-11 20:14:22 id = 0 (machine1); Seed = 36; Done (0)
2019-01-11 20:14:22 id = 0 (machine1); Seed = 48; Starting new sample
2019-01-11 20:14:32 id = 1 (machine1); Seed = 44; Done (0)
2019-01-11 20:14:32 id = 1 (machine1); Seed = 49; Starting new sample
2019-01-11 20:16:06 id = 5 (machine1); Seed = 42; Done (0)
2019-01-11 20:16:06 id = 5 (machine1); Seed = 50; Starting new sample
2019-01-11 20:16:56 id = 1 (machine1); Seed = 49; Done (0)
2019-01-11 20:16:56 id = 1 (machine1); Seed = 51; Starting new sample
2019-01-11 20:17:03 id = 4 (machine1); Seed = 43; Done (1)
2019-01-11 20:17:03 id = 4 (machine1); Seed = 52; Starting new sample
2019-01-11 20:18:23 id = 1 (machine1); Seed = 51; Done (0)
2019-01-11 20:18:23 id = 1 (machine1); Seed = 53; Starting new sample
2019-01-11 20:18:24 id = 5 (machine1); Seed = 50; Done (0)
2019-01-11 20:18:24 id = 5 (machine1); Seed = 54; Starting new sample
2019-01-11 20:19:21 id = 3 (machine1); Seed = 47; Done (0)
2019-01-11 20:19:21 id = 3 (machine1); Seed = 55; Starting new sample
2019-01-11 20:19:28 id = 4 (machine1); Seed = 52; Done (0)
2019-01-11 20:19:28 id = 4 (machine1); Seed = 56; Starting new sample
2019-01-11 20:20:33 id = 0 (machine1); Seed = 48; Done (1)
2019-01-11 20:20:33 id = 0 (machine1); Seed = 57; Starting new sample
2019-01-11 20:20:53 id = 1 (machine1); Seed = 53; Done (0)
2019-01-11 20:20:53 id = 1 (machine1); Seed = 58; Starting new sample
2019-01-11 20:20:56 id = 5 (machine1); Seed = 54; Done (1)
2019-01-11 20:20:56 id = 5 (machine1); Seed = 59; Starting new sample
2019-01-11 20:21:48 id = 2 (machine1); Seed = 46; Done (0)
2019-01-11 20:21:48 id = 2 (machine1); Seed = 60; Starting new sample
2019-01-11 20:22:48 id = 3 (machine1); Seed = 55; Done (0)
2019-01-11 20:22:48 id = 3 (machine1); Seed = 61; Starting new sample
2019-01-11 20:23:01 id = 1 (machine1); Seed = 58; Done (0)
2019-01-11 20:23:01 id = 1 (machine1); Seed = 62; Starting new sample
2019-01-11 20:24:32 id = 4 (machine1); Seed = 56; Done (0)
2019-01-11 20:24:32 id = 4 (machine1); Seed = 63; Starting new sample
2019-01-11 20:26:12 id = 5 (machine1); Seed = 59; Done (0)
2019-01-11 20:26:12 id = 5 (machine1); Seed = 64; Starting new sample
2019-01-11 20:27:27 id = 1 (machine1); Seed = 62; Done (0)
2019-01-11 20:27:27 id = 1 (machine1); Seed = 65; Starting new sample
2019-01-11 20:27:37 id = 3 (machine1); Seed = 61; Done (1)
2019-01-11 20:27:37 id = 3 (machine1); Seed = 66; Starting new sample
2019-01-11 20:28:25 id = 0 (machine1); Seed = 57; Done (0)
2019-01-11 20:28:25 id = 0 (machine1); Seed = 67; Starting new sample
2019-01-11 20:29:33 id = 5 (machine1); Seed = 64; Done (0)
2019-01-11 20:29:33 id = 5 (machine1); Seed = 68; Starting new sample
2019-01-11 20:30:11 id = 3 (machine1); Seed = 66; Done (0)
2019-01-11 20:30:11 id = 3 (machine1); Seed = 69; Starting new sample
2019-01-11 20:31:42 id = 5 (machine1); Seed = 68; Done (1)
2019-01-11 20:31:42 id = 5 (machine1); Seed = 70; Starting new sample
2019-01-11 20:32:22 id = 2 (machine1); Seed = 60; Done (0)
2019-01-11 20:32:22 id = 2 (machine1); Seed = 71; Starting new sample
2019-01-11 20:34:28 id = 0 (machine1); Seed = 67; Done (0)
2019-01-11 20:34:28 id = 0 (machine1); Seed = 72; Starting new sample
2019-01-11 20:35:16 id = 5 (machine1); Seed = 70; Done (1)
2019-01-11 20:35:16 id = 5 (machine1); Seed = 73; Starting new sample
2019-01-11 20:35:43 id = 4 (machine1); Seed = 63; Done (0)
2019-01-11 20:35:43 id = 4 (machine1); Seed = 74; Starting new sample
2019-01-11 20:35:54 id = 3 (machine1); Seed = 69; Done (0)
2019-01-11 20:35:54 id = 3 (machine1); Seed = 75; Starting new sample
2019-01-11 20:37:21 id = 0 (machine1); Seed = 72; Done (0)
2019-01-11 20:37:21 id = 0 (machine1); Seed = 76; Starting new sample
2019-01-11 20:37:27 id = 5 (machine1); Seed = 73; Done (0)
2019-01-11 20:37:27 id = 5 (machine1); Seed = 77; Starting new sample
2019-01-11 20:38:03 id = 3 (machine1); Seed = 75; Done (0)
